PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Alone
1,3,0,22.0,1,0,7.25,0.0,0
2,1,1,38.0,1,0,71.2833,1.0,0
3,3,1,26.0,0,0,7.925,0.0,1
4,1,1,35.0,1,0,53.1,0.0,0
5,3,0,35.0,0,0,8.05,0.0,1
6,3,0,,0,0,8.4583,2.0,1
7,1,0,54.0,0,0,51.8625,0.0,1
8,3,0,2.0,3,1,21.075,0.0,0
9,3,1,27.0,0,2,11.1333,0.0,0
10,2,1,14.0,1,0,30.0708,1.0,0
11,3,1,4.0,1,1,16.7,0.0,0
12,1,1,58.0,0,0,26.55,0.0,1
13,3,0,20.0,0,0,8.05,0.0,1
14,3,0,39.0,1,5,31.275,0.0,0
15,3,1,14.0,0,0,7.8542,0.0,1
16,2,1,55.0,0,0,16.0,0.0,1
17,3,0,2.0,4,1,29.125,2.0,0
18,2,0,,0,0,13.0,0.0,1
19,3,1,31.0,1,0,18.0,0.0,0
20,3,1,,0,0,7.225,1.0,1
21,2,0,35.0,0,0,26.0,0.0,1
22,2,0,34.0,0,0,13.0,0.0,1
23,3,1,15.0,0,0,8.0292,2.0,1
24,1,0,28.0,0,0,35.5,0.0,1
25,3,1,8.0,3,1,21.075,0.0,0
26,3,1,38.0,1,5,31.3875,0.0,0
27,3,0,,0,0,7.225,1.0,1
28,1,0,19.0,3,2,263.0,0.0,0
29,3,1,,0,0,7.8792,2.0,1
30,3,0,,0,0,7.8958,0.0,1
31,1,0,40.0,0,0,27.7208,1.0,1
32,1,1,,1,0,146.5208,1.0,0
33,3,1,,0,0,7.75,2.0,1
34,2,0,66.0,0,0,10.5,0.0,1
35,1,0,28.0,1,0,82.1708,1.0,0
36,1,0,42.0,1,0,52.0,0.0,0
37,3,0,,0,0,7.2292,1.0,1
38,3,0,21.0,0,0,8.05,0.0,1
39,3,1,18.0,2,0,18.0,0.0,0
40,3,1,14.0,1,0,11.2417,1.0,0
41,3,1,40.0,1,0,9.475,0.0,0
42,2,1,27.0,1,0,21.0,0.0,0
43,3,0,,0,0,7.8958,1.0,1
44,2,1,3.0,1,2,41.5792,1.0,0
45,3,1,19.0,0,0,7.8792,2.0,1
46,3,0,,0,0,8.05,0.0,1
47,3,0,,1,0,15.5,2.0,0
48,3,1,,0,0,7.75,2.0,1
49,3,0,,2,0,21.6792,1.0,0
50,3,1,18.0,1,0,17.8,0.0,0
51,3,0,7.0,4,1,39.6875,0.0,0
52,3,0,21.0,0,0,7.8,0.0,1
53,1,1,49.0,1,0,76.7292,1.0,0
54,2,1,29.0,1,0,26.0,0.0,0
55,1,0,65.0,0,1,61.9792,1.0,0
56,1,0,,0,0,35.5,0.0,1
57,2,1,21.0,0,0,10.5,0.0,1
58,3,0,28.5,0,0,7.2292,1.0,1
59,2,1,5.0,1,2,27.75,0.0,0
60,3,0,11.0,5,2,46.9,0.0,0
61,3,0,22.0,0,0,7.2292,1.0,1
62,1,1,38.0,0,0,80.0,0.0,1
